,,,,Calvin College,,,,,,,,,,,,
,,,,2014 Fall Day 10,,,,,,,,,,,,
,,,Enrollment History 2005-2014,,,,,,,,,,,,,
,,,,,,,,,,,Table 1,,,,,
,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,,,,
,Total Enrollment,4189,4199,4224,4171,4092,3991,3967,4008,4034,3993,,,,,
,Total FTE,4064,4053,4116,4056,3983,3889,3853,3888,3937,3885,,,,,
,FTE as % of Total Enrollment,97.0%,96.5%,97.4%,97.2%,97.3%,97.4%,97.1%,97.0%,97.6%,97.3%,,,,,
,1,,,,,,,,,,,,,,,
,Entering FTIACs,1007,1027,1039,936,945,935,961,977,1006,951,,,,,
,Entering Transfers,101,92,85,92,110,100,106,108,101,75,,,,,
Traditional Undergraduates,,4012,4026,4075,4014,3933,3834,3788,3829,3887,3816,,,,,
Full Time Trad Undergraduates,,3943,3926,4010,3939,3868,3776,3726,3743,3801,3746,,,,,
Part Time Trad Undergraduates,,69,100,65,75,65,58,62,86,86,70,,,,,
Traditional Undergrad FTE,,3986,3977,4045,3980,3905,3812,3762,3793,3852,3789,,,,,
UG,FTE as % of UG Enrollment,99.4%,98.8%,99.3%,99.2%,99.3%,99.4%,99.3%,99.1%,99.1%,99.3%,,,,,
,First Year,1104,1118,1129,1016,1011,996,998,1031,1037,984,,,,,
,Sophomore,877,972,1008,977,891,917,920,892,975,940,,,,,
,Junior,937,844,897,949,925,855,854,864,821,881,,,,,
,Senior,1094,1092,1041,1072,1106,1066,1016,1042,1054,1011,,,,,
Post Bac (Degree-seeking),,27,17,16,7,6,5,9,9,8,9,,,,,
,Graduate,38,52,55,67,77,70,94,78,75,99,,,,,
,UG Guest/Non-Degree,85,77,54,61,58,52,60,54,36,38,,,,,
,Dually Enrolled,27,27,24,22,18,30,16,38,28,31,,,,,
,Total Enrollment,4189,4199,4224,4171,4092,3991,3967,4008,4034,3993,,,,,
,Full Time Students,3972,3958,4035,3968,3895,3807,3769,3792,3849,3797,,,,,
,% of Total,94.8%,94.3%,95.5%,95.1%,95.2%,95.4%,95.0%,94.6%,95.4%,95.1%,,,,,
,Part Time Students,217,241,189,203,197,184,198,216,185,196,,,,,
,,5.2%,5.7%,4.5%,4.9%,4.8%,4.6%,5.0%,5.4%,4.6%,4.9%,,,,,
,2,,,,,,,,,,,,,,,
,AHANA Students,227,235,268,268,293,388,452,474,523,523,,,,,
,,5.4%,5.6%,6.3%,6.4%,7.2%,9.7%,11.4%,11.8%,13.0%,13.1%,,,,,
,International Students,312,315,305,323,338,346,376,403,407,425,,,,,
(Non-Resident Aliens/Non-Immigrants),,7.4%,7.5%,7.2%,7.7%,8.3%,8.7%,9.5%,10.1%,10.1%,10.6%,,,,,
Students from the Christian,,2041,2020,1986,1942,1879,1788,1686,1609,1511,1434,,,,,
,Reformed Church,48.7%,48.1%,47.0%,46.6%,45.9%,44.8%,42.5%,40.1%,37.5%,35.9%,,,,,
,Students from Other,2148,2179,2238,2229,2213,2203,2281,2399,2523,2559,,,,,
,Religious Traditions,51.3%,51.9%,53.0%,53.4%,54.1%,55.2%,57.5%,59.9%,62.5%,64.1%,,,,,
,Students from Michigan,2253,2228,2206,2174,2181,2134,2112,2119,2078,2048,,,,,
,,53.8%,53.1%,52.2%,52.1%,53.3%,53.5%,53.2%,52.9%,51.5%,51.3%,,,,,
Students from other Great,,660,706,738,732,709,658,620,643,677,677,,,,,
"Lakes States (IL, IN, OH, WI)",,15.8%,16.8%,17.5%,17.5%,17.3%,16.5%,15.6%,16.0%,16.8%,17.0%,,,,,
,Female Students,2274,2264,2279,2274,2211,2131,2113,2161,2224,2211,,,,,
,,54.3%,53.9%,54.0%,54.5%,54.0%,53.4%,53.3%,53.9%,55.1%,55.4%,,,,,
,Male Students,1915,1935,1945,1897,1881,1860,1854,1847,1810,1782,,,,,
,,45.7%,46.1%,46.0%,45.5%,46.0%,46.6%,46.7%,46.1%,44.9%,44.6%,,,,,
,3,,,,,,,,,,,,,,,
Top Scholarship Recipients,,1874,1926,1918,1826,1915,1991,2050,2272,2374,2336,,,,,
,(% of Traditional UGs),46.7%,47.8%,47.1%,45.5%,48.7%,51.9%,54.1%,59.3%,61.1%,61.2%,,,,,
,Children of Alumni,1548,1589,1616,1604,1570,1561,1502,1441,1408,1361,,,,,
,(% of Traditional UGs),38.6%,39.5%,39.7%,40.0%,39.9%,40.7%,39.7%,37.6%,36.2%,35.7%,,,,,
1,,,,,,,,,,,,,,,,
FTIACs are students enrolling for the First Time in any College after receiving a high school degree.,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
"AHANA identify themselves as African-, Hispanic-, Asian-, and Native-American and are U.S. Citizens or Permanent Residents. Beginning in 2010,",,,,,,,,,,,,,,,,
"based on new Federal guidelines for collecting race/ethnicity data, Hawaiian/Pacific Islander and Multi-Racial students are also included here.",,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
Knollcrest awards are not included in these figures.,,,,,,,,,,,,,,,,
,,,Calvin College,,,,,,,,,,,,,
,,2014 Fall Day 10,,,,,,,,,,,,,,
,,Headcount and FTE Distribution,,,,,,,,,,,,,,
,,,,,,,,,Table 2,,,,,,,
,,,,,,,Total,,,,,,,,,
Class Level ----->,,First,Sopho-,,First Bac,Post,Under-,Grad-,Grand,,,,,,,
,,,,,,4,,5,,,,,,,,
,,Year,more,Junior,Senior,Subtotal,Bac,graduate,uate,Total,,,,,,
Total,,,,,,,,,,,,,,,,
Full time,,985,935,868,964,3752,8,3760,37,3797,,,,,,
Part time,,50,5,13,47,115,19,134,62,196,,,,,,
,Total,1035,940,881,1011,3867,27,3894,99,3993,,,,,,
,FTE,1004,938.2,876.2,992.3,3810.7,15.3,3826,59.3,3885.3,,,,,,
Regular,1,,,,,,,,,,,,,,,
Full time,,979,935,868,964,3746,6,3752,36,3788,,,,,,
Part time,,5,5,13,47,70,3,73,32,105,,,,,,
,Total,984,940,881,1011,3816,9,3825,68,3893,,,,,,
,FTE,982.5,938.2,876.2,992.3,3789.2,7.3,3796.5,47.4,3843.9,,,,,,
Guest 2,,,,,,,,,,,,,,,,
Full time,,5,0,0,0,5,2,7,1,8,,,,,,
Part time,,15,0,0,0,15,16,31,30,61,,,,,,
,Total,20,0,0,0,20,18,38,31,69,,,,,,
,FTE,10.4,0,0,0,10.4,8,18.4,11.9,30.3,,,,,,
Dually Enrolled 3,,,,,,,,,,,,,,,,
Full time,,1,0,0,0,1,0,1,0,1,,,,,,
Part time,,30,0,0,0,30,0,30,0,30,,,,,,
,Total,31,0,0,0,31,0,31,0,31,,,,,,
,FTE,11.1,0,0,0,11.1,0,11.1,0,11.1,,,,,,
Notes:,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
Regular students are pursuing a degree from Calvin.,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
Guest students are enrolled at Calvin but not pursuing a degree from Calvin. This group includes exchange,,,,,,,,,,,,,,,,
students and students taking limited coursework while pursuing a degree from another institution.,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
Dually Enrolled Students are high school students who are also enrolled at Calvin.,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,
Post Bac students have earned a bachelors degree and are now taking primarily undergraduate courses,,,,,,,,,,,,,,,,
as guest students or in order to earn a second bachelors degree or complete a teacher certification program.,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
Graduate students includes those pursuing a Masters degree or taking primarily graduate level coursework.,,,,,,,,,,,,,,,,
,,Calvin College,,,,,,,,,,,,,,
,,2014 Fall Day 10,,,,,,,,,,,,,,
