Academic Year,InState,International Status,Ethnicity,ChurchAffiliation,ClassLevel,Gender,StudentCount,vegitarian
2007,FALSE,International Student,International Student,Christian Reformed,First-year,Female,31,yes
2007,FALSE,International Student,International Student,Christian Reformed,First-year,Male,12,yes
2007,FALSE,International Student,International Student,Christian Reformed,Junior,Female,16,yes
2007,FALSE,International Student,International Student,Christian Reformed,Junior,Male,13,yes
2007,FALSE,International Student,International Student,Christian Reformed,Junior,Not Entered,1,yes
2007,FALSE,International Student,International Student,Christian Reformed,Senior,Female,15,yes
2007,FALSE,International Student,International Student,Christian Reformed,Senior,Male,16,yes
2007,FALSE,International Student,International Student,Christian Reformed,Sophomore,Female,20,yes
2007,FALSE,International Student,International Student,Christian Reformed,Sophomore,Male,25,yes
2007,FALSE,International Student,International Student,Other,First-year,Female,30,yes
2007,FALSE,International Student,International Student,Other,First-year,Male,18,yes
2007,FALSE,International Student,International Student,Other,Junior,Female,7,yes
2007,FALSE,International Student,International Student,Other,Junior,Male,11,yes
2007,FALSE,International Student,International Student,Other,Senior,Female,7,yes
2007,FALSE,International Student,International Student,Other,Senior,Male,14,yes
2007,FALSE,International Student,International Student,Other,Sophomore,Female,14,yes
2007,FALSE,International Student,International Student,Other,Sophomore,Male,11,yes
2007,TRUE,International Student,International Student,Christian Reformed,First-year,Male,1,yes
2007,TRUE,International Student,International Student,Christian Reformed,Junior,Female,1,yes
2007,TRUE,International Student,International Student,Christian Reformed,Junior,Male,3,yes
2007,TRUE,International Student,International Student,Christian Reformed,Senior,Female,4,yes
2007,TRUE,International Student,International Student,Christian Reformed,Senior,Male,5,yes
2007,TRUE,International Student,International Student,Christian Reformed,Sophomore,Female,1,yes
2007,TRUE,International Student,International Student,Christian Reformed,Sophomore,Male,1,yes
2007,TRUE,International Student,International Student,Other,First-year,Female,4,yes
2007,TRUE,International Student,International Student,Other,Junior,Male,1,yes
2007,TRUE,International Student,International Student,Other,Senior,Male,2,yes
2007,TRUE,International Student,International Student,Other,Sophomore,Male,1,yes
2008,FALSE,International Student,International Student,Christian Reformed,First-year,Female,23,yes
2008,FALSE,International Student,International Student,Christian Reformed,First-year,Male,22,yes
2008,FALSE,International Student,International Student,Christian Reformed,Junior,Female,24,yes
2008,FALSE,International Student,International Student,Christian Reformed,Junior,Male,21,yes
